[[<module 'oppgave2a.export519' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export519.py'>, AssertionError("'u' != 'a'\n- u\n+ a\n")]]
[[<module 'oppgave2a.export242' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export242.py'>, NameError("name 'stren' is not defined")]]
[[<module 'oppgave2a.export1558' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1558.py'>, AssertionError("'u' != 'a'\n- u\n+ a\n")]]
[[<module 'oppgave2a.export1962' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1962.py'>, TypeError("'int' object is not iterable")]]
[[<module 'oppgave2a.export661' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export661.py'>, AssertionError("'a' != 'u'\n- a\n+ u\n")]]
[[<module 'oppgave2a.export1999' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1999.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export982' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export982.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export1335' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1335.py'>, AssertionError("'e' != 'a'\n- e\n+ a\n")]]
[[<module 'oppgave2a.export112' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export112.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export417' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export417.py'>, ValueError("invalid literal for int() with base 10: 'abc'")]]
[[<module 'oppgave2a.export1575' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1575.py'>, AssertionError("'u' != 'a'\n- u\n+ a\n")]]
[[<module 'oppgave2a.export1303' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1303.py'>, AssertionError("None != 'a'")]]
[[<module 'oppgave2a.export1710' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1710.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export540' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export540.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export241' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export241.py'>, AssertionError("'u' != 'a'\n- u\n+ a\n")]]
[[<module 'oppgave2a.export105' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export105.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export1106' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1106.py'>, AssertionError("'u' != 'a'\n- u\n+ a\n")]]
[[<module 'oppgave2a.export175' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export175.py'>, AttributeError("'str' object has no attribute 'max'")]]
[[<module 'oppgave2a.export1753' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1753.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export1396' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1396.py'>, ValueError("could not convert string to float: 'abc'")]]
[[<module 'oppgave2a.export1503' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1503.py'>, TypeError("argument of type 'int' is not iterable")]]
[[<module 'oppgave2a.export1491' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1491.py'>, AssertionError("'u' != 'a'\n- u\n+ a\n")]]
[[<module 'oppgave2a.export606' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export606.py'>, TypeError("'in <string>' requires string as left operand, not int")]]
[[<module 'oppgave2a.export1045' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1045.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export1817' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1817.py'>, AssertionError("'u' != 'a'\n- u\n+ a\n")]]
[[<module 'oppgave2a.export860' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export860.py'>, AssertionError("'this is not a number' != 'u'\n- this is not a number\n+ u\n")]]
[[<module 'oppgave2a.export1931' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1931.py'>, TypeError("'int' object is not iterable")]]
[[<module 'oppgave2a.export1599' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1599.py'>, ValueError("invalid literal for int() with base 10: 'abc'")]]
[[<module 'oppgave2a.export1164' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1164.py'>, AssertionError("'a' != 'u'\n- a\n+ u\n")]]
[[<module 'oppgave2a.export70' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export70.py'>, ValueError("could not convert string to float: 'abc'")]]
[[<module 'oppgave2a.export1208' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1208.py'>, AssertionError("'a' != 'u'\n- a\n+ u\n")]]
[[<module 'oppgave2a.export139' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export139.py'>, ValueError("could not convert string to float: 'abc'")]]
[[<module 'oppgave2a.export1067' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1067.py'>, TypeError('min expected at least 1 argument, got 0')]]
[[<module 'oppgave2a.export1785' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1785.py'>, AssertionError("'e' != 'a'\n- e\n+ a\n")]]
[[<module 'oppgave2a.export491' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export491.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export374' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export374.py'>, AssertionError("'u' != 'a'\n- u\n+ a\n")]]
[[<module 'oppgave2a.export487' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export487.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export1098' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1098.py'>, ValueError("could not convert string to float: 'abc'")]]
[[<module 'oppgave2a.export1568' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1568.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export138' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export138.py'>, AssertionError("'s' != 'a'\n- s\n+ a\n")]]
[[<module 'oppgave2a.export1239' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1239.py'>, ValueError("could not convert string to float: ''")]]
[[<module 'oppgave2a.export847' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export847.py'>, ValueError("invalid literal for int() with base 10: 'abc'")]]
[[<module 'oppgave2a.export1660' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1660.py'>, AssertionError("None != 'a'")]]
[[<module 'oppgave2a.export1232' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1232.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export1845' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1845.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export1116' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1116.py'>, TypeError("'builtin_function_or_method' object is not iterable")]]
[[<module 'oppgave2a.export906' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export906.py'>, IndexError('list index out of range')]]
[[<module 'oppgave2a.export48' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export48.py'>, AssertionError("None != 'a'")]]
[[<module 'oppgave2a.export31' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export31.py'>, NameError("name 'math' is not defined")]]
[[<module 'oppgave2a.export1775' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1775.py'>, AssertionError("'z' != 'a'\n- z\n+ a\n")]]
[[<module 'oppgave2a.export878' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export878.py'>, AssertionError("'m' != 'a'\n- m\n+ a\n")]]
[[<module 'oppgave2a.export123' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export123.py'>, AssertionError("('a', 0) != 'a'")]]
[[<module 'oppgave2a.export542' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export542.py'>, TypeError("'int' object is not iterable")]]
[[<module 'oppgave2a.export805' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export805.py'>, TypeError('ord() expected a character, but string of length 5 found')]]
[[<module 'oppgave2a.export1736' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1736.py'>, TypeError("'>' not supported between instances of 'str' and 'int'")]]
[[<module 'oppgave2a.export1118' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1118.py'>, AssertionError("'u' != 'a'\n- u\n+ a\n")]]
[[<module 'oppgave2a.export1699' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export1699.py'>, NameError("name 'stren' is not defined")]]
[[<module 'oppgave2a.export846' from '/home/sigmund/eksamensoppgaver/H21/oppgave2a/export846.py'>, AssertionError("None != 'a'")]]
