[[<module 'oppgave1.export337' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export337.py'>, AttributeError("'list' object has no attribute 'sum'")]]
[[<module 'oppgave1.export178' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export178.py'>, AssertionError("'' != 11")]]
[[<module 'oppgave1.export946' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export946.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export632' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export632.py'>, UnboundLocalError("local variable 'ronaldo' referenced before assignment")]]
[[<module 'oppgave1.export763' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export763.py'>, TypeError("argument of type 'int' is not iterable")]]
[[<module 'oppgave1.export1186' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1186.py'>, AssertionError('0 != 11')]]
[[<module 'oppgave1.export276' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export276.py'>, TypeError("'int' object is not subscriptable")]]
[[<module 'oppgave1.export110' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export110.py'>, AttributeError("'list' object has no attribute 'sum'")]]
[[<module 'oppgave1.export112' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export112.py'>, AttributeError("'builtin_function_or_method' object has no attribute 'nyliste'")]]
[[<module 'oppgave1.export54' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export54.py'>, TypeError("unsupported operand type(s) for -: 'list' and 'int'")]]
[[<module 'oppgave1.export852' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export852.py'>, AssertionError('17 != 11')]]
[[<module 'oppgave1.export406' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export406.py'>, AssertionError('3 != 11')]]
[[<module 'oppgave1.export362' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export362.py'>, AssertionError('6 != 11')]]
[[<module 'oppgave1.export1097' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1097.py'>, NameError("name 'resultat' is not defined")]]
[[<module 'oppgave1.export1160' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1160.py'>, UnboundLocalError("local variable 'sum' referenced before assignment")]]
[[<module 'oppgave1.export842' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export842.py'>, IndexError('pop index out of range')]]
[[<module 'oppgave1.export241' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export241.py'>, AssertionError('14 != 11')]]
[[<module 'oppgave1.export105' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export105.py'>, AssertionError('None != 11')]]
[[<module 'oppgave1.export214' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export214.py'>, AssertionError('10 != 11')]]
[[<module 'oppgave1.export850' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export850.py'>, TypeError("'int' object is not iterable")]]
[[<module 'oppgave1.export1106' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1106.py'>, TypeError("'type' object is not iterable")]]
[[<module 'oppgave1.export1192' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1192.py'>, AssertionError('10 != 11')]]
