ext_inspera_questions_5_ext_inspera_candidateResponses_0_ext_inspera_response;ext_inspera_questions_6_ext_inspera_candidateResponses_0_ext_inspera_response;ext_inspera_questions_17_ext_inspera_candidateResponses_0_ext_inspera_response;
"def sum_except(numlist, n):
    sum = 0
    for i in range(len(numlist)):
        if numlist[i] != n:
            sum += numlist[i]
        return sum";"def ok_size(length, width, intl):
    if intl:
        if 100 <= length and length <= 110 and 64 <= width and width <= 75:
            return True
        else:
            return False
    else: 
        if 90 <= length and length <= 120 and 45 <= width and with <= 90:
            return True
        else:
            return False
            
# husker ikke om det er greit med trekant ulikheter så kan evt skrives slik:

def ok_size1(length, width, intl):
    if intl:
        if 100 <= length <= 110 and 64 <= width <= 75:
            return True
        else:
            return False
    else: 
        if 90 <= length <= 120 and 45 <= width <= 90:
            return True
        else:
            return False";"#finnes antakeligvis mye smartere måter å gjøre det på men dette føltes som det tryggeste.

#skrev ned hver posisjon som variable for å holde oversikt, kunne også direkte putta de i check lista

def count_local_min(A):
    local_min = []
    # antar rektangulær matrise,f.eks 4x5, ikke rader og kollonner med forskjellig lengde
    for i in ragne(len(A)):
        for j in range(len(A[0])):
            current = A[i,j]
            # sjekker om vi ikke er ved en rand
            if i != 0 and j !=0 and i != len(A)-1 and j != len(A[0])-1: 
                left = A[i,j-1]
                right = A[i,j+1]
                above = A[i-1,j]
                below = A[i+1,j]
                diagLA = A[i-1,j-1]  # diag left above
                diagRA = A[i-1,j+1] # diag right above
                diagLB = A[i+1,j-1] # diag left below
                diagRB = A[i+1,j+1] # diag left below
                check = [left, right, above, below,diagLA,diagRA,diagLB,diagRB]
                if current <= min(check):
                    local_min.append(current)
            # ved øvre rand
            if i == 0 and j != 0 and j != len(A[0])-1: 
                left = A[i,j-1]
                right = A[i,j+1]
                below = A[i+1,j]
                diagLB = A[i+1,j-1]
                diagRB = A[i+1,j+1]
                check = [left, right, below,diagLB,diagRB]
                if current <= min(check):
                    local_min.append(current)
            # ved nedre rand
            if i == len(A)-1 and j != 0 and j != len(A[0])-1:
                left = A[i,j-1]
                right = A[i,j+1]
                above = A[i-1,j]
                diagLA = A[i-1,j-1]
                diagRA = A[i-1,j+1]
                check = [left, right, above,diagLA,diagRA]
                if current <= min(check):
                    local_min.append(current)
            # ved venstre rand
            if j == 0 and i != 0 and i != len(A)-1:
                right = A[i,j+1]
                below = A[i+1,j]
                above = A[i-1,j]
                diagRA = A[i-1,j+1]
                diagRB = A[i+1,j+1]
                check = [right,below,above,diagRA,diagRB]
                if current <= min(check):
                    local_min.append(current)
            # ved høyere rand
            if j == len(A[0])-1 and i != 0 and i != len(A)-1:
                left = A[i,j-1]
                below = A[i+1,j]
                above = A[i-1,j]
                diagLA = A[i-1,j-1]
                diagLB = A[i+1,j-1]
                check = [left,below,above,diagLA,diagLB]
                if current <= min(check):
                    local_min.append(current)
            # ved øvre venstre hjørne
            if i == 0 and j == 0:
                right = A[i,j+1]
                below = A[i+1,j]
                diagRB = A[i+1,j+1]
                check = [right, below,diagRB]
                if current <= min(check):
                    local_min.append(current)
            # ved øvre høyere hjørne
            if i == 0 and j == len(A[0])-1:
                left = A[i,j-1]
                below = A[i+1,j]
                diagLB = A[i+1,j-1]
                check = [left,below,diagLB]
                if current <= min(check):
                    local_min.append(current)
            # ved nedre venstre hjørne
            if i == len(A)-1 and j == 0:
                right = A[i,j+1]
                above = A[i-1,j]
                diagRA = A[i-1,j+1]
                check = [right,above,diagRA]
                if current <= min(check):
                    local_min.append(current)
            # ved nedre høyre hjørne
            if i == len(A)-1 and j == len(A[0])-1:
                left = A[i,j-1]
                above = A[i-1,j]
                diagLA = A[i-1,j-1]
                check = [left,above,diagLA]
                if current <= min(check):
                    local_min.append(current)
                    
    return len(local_min)";11623
"def sum_except(numlist, n):
    L = numlist.sort()
    curated = []
    result = 0
    
    for ele in L:
        if n == ele:
            L.remove(ele)
        else:
            curated.append(ele)
    
    for ele in curated:
        result += ele
        
    return result";"def ok_size(length, width, intl):
    H = float(length)
    W = float(width)
    
    if intl == True:
        if H > 110.0 or H < 100.0:
            return False
        elif W > 75.0 or W < 64.0:
            return False
        else:
            return True
        
    else:
        if H > 120.0 or H < 90.0:
            return False
        elif W > 90.0 or W < 45.0:
            return False
        else:
            return True";"import numpy as np

def count_local_min(A):
    result = 0
    old_coords = []
    
    for ele in A:
        old_coords.append(A.index(min(ele)))
        
    np.array(old_coords)";8168
"def sum_except(numlist, n):
    a = 0
    for b in numlist:
        if b != n:
            a += b
    return a";"def ok_size(length, width, intl):
    if intl == True:
        if 100 <= length <= 110 and 64 <= width <= 75:
            return True
        return False
    else:
        if 90 <= length <= 120 and 45 <= width <= 90:
            return True
        return False";"def loc_num(A,row,col):
    n = []
    if A[row] == A[0] and A[row][col] == A[row][0]: #øverst til venstre
        n.append(A[row][col+1], A[row+1][col], A[row+1][col+1])
    elif A[row] == A[0] and A[row][col] == A[row][-1]: #øverst til høyre
        n.append(A[row][col-1], A[row+1][col-1], A[row+1][col])
    elif A[row] == A[-1] and A[row][col] == A[row][0]: #nederst til venstre
        n.append(A[row-1][col], A[row-1][col+1], A[row][col+1])
    elif A[row] == A[-1] and A[row][col] == A[row][-1]: #nederst til høyre
        n.append(A[row-1][col-1], A[row-1][col], A[row][col-1])
    else: #ikke i et hjørne
        if A[row] == A[0]: #første rad
            n.append(A[row][col-1], A[row][col+1], A[row+1][col-1], A[row+1][col], A[row+1][col+1])
        elif A[row] == A[-1]: #siste rad
            n.append(A[row-1][col-1], A[row-1][col], A[row-1][col+1], A[row][col-1], A[row][col+1])
        elif A[row][col] == A[row][0]: #første kolonne
            n.append(A[row-1][col], A[row-1][col+1], A[row][col+1], A[row+1][col], A[row+1][col+1])
        elif A[row][col] == A[row][-1]: #siste kolonne
            n.append(A[row-1][col-1], A[row-1][col], A[row][col-1], A[row+1][col-1], A[row+1][col])
        else: #midt i 
            n.append(A[row-1][col-1], A[row-1][col], A[row-1][col+1], A[row][col-1], A[row][col+1], A[row+1][col-1], A[row+1][col], A[row+1][col+1])
    return n #alle umiddelbart nærliggende tall til posisjonen A[row][col]

def count_local_min(A):
    s = 0
    for i in range(len(A)):
        for j in range(len(A[i])):
            l = A[i][j]
            c = 0
            for k in loc_num(A,i,j):
                if l <= k:
                    c += 1
            if c == len(loc_num(A,i,j)):
                s += 1
    return s";8233
"def sum_except(numlist, n):
    running_sum = 0
    for number in numlist:
        if number != n:
            running_sum += number
    
    return running_sum";"def ok_size(length, width, intl):
    if intl == True:
        if (length >= 100) and (length <= 110) and (width >= 64) and (width <= 75):
            return True
        else:
            return False
    else:
        if (length >= 90) and (length <= 120) and (width >= 45) and (width <= 90):
            return True
        else:
            return False";"def local_min(A, row_number, number_index):
    numbers_in_area = []
    
    try:
        '''
        Poenget her er å loope over følgende område:
        ------------------------------------------------------------------------------------------
        |row_number-1, number_index-1 | row_number-1, number_index | row_number-1, number_index+1|
        |----------------------------------------------------------------------------------------|
        |row_number  , number_index-1 | row_number  , number_index | row_number  , number_index+1|
        |----------------------------------------------------------------------------------------|
        |row_number+1, number_index-1 | row_number+1, number_index | row_number+1, number_index+1|
        ------------------------------------------------------------------------------------------
        Det har ikke noe å si at man får med selve verdien i numbers_in_area siden man sjekker den aktuelle verdien opp mot den minste i den sorterte listen
        '''
        for index_shift in range(-1, 2):
            for row_shift in range(-1, 2):
                numbers_in_area.append(row_number+row_shift, number_index+index_shift)

    except IndexError:
        # hvis man treffer en IndexError betyr bare det at man den aktuelle verdien er på ""kanten"" av 2D listen, dete ignoreres
        pass

    #hvis det aktuelle tallet er lik eller mindre det første elementet i den sorterte listen av tall i nærheten er det et lokalt minima
    if A[row_number, number_index] <= numbers_in_area.sort()[0]:
        return True
    return False


def count_local_min(A):
    number_of_local_mins = 0
    
    for row_number in range(len(A)):
        for number_index in range(len(A[row_number])):
            if local_min(A, row_number, number_index) == True:
                number_of_local_mins += 1
                
    return number_of_local_mins";11806
"def sum_except(numlist,n):
    resultat=0
    for i in range(len(numlist)):
        #skal sjekke om n ikke er lik det tallet i listen. fordi det er dette oppgaven ber om
        if n!=numlist[i]:
            resultat+=numlist[i]#tallet på forje resultat som vil gi en sum
    return reaultat 
    ";"def ok_size(float(length),float(width),intl):
    #henter data fra bruker 
    #intl==True for en internasjonal kamp
    if intl==True:#internasjonale kamper
        greintlLen=float([100.0,110.0])
        greintlBred=float([64.0,75.0])
        if greintlLen[0]<=length and greintlLen[1]>=length and greintlBred[0]<=width and greintlBred[1]>=width:
            print(""Banen er innenfor ok størrelse"")
        else: 
            print(""Banen har feil mål for internasjonal kamp"")
    if intl==False:#ikke internasjonale kamper
        grenLocalLen=float([90.0,120.0])
        grenLocalBred=float([45.0,90.0])
        if grenLocalLen[0]<=length and grenLocalLen[1]>=length and grenLocalBred[0]<=width and grenLocalBred[1]>=width:
            print (""Banen er innenfor målene for lokale fotballkamper"")
        else:
            print(""banen har feil mål for fotballkamper"")
            ";"def count_local_min(A):
    #vi skal nå sjekke ut ifra et vilkålig punkt i arrayen om de nærmeste tallene er større for å finne minste. dette gjelder fra tallet forran da i eksempelet[0,0]og [0,1]og [0,2] samme for raden over og under. dette punktet må vi sjekke for alle verdiene i arrayen 
   result=[]
    for i in range(len(A)):
         tall=[]#tom array som verdier kan settes inn i 
        for j in range(i,len(A[i])):
            #lager unntak for endepunktene i hjørner og sider. 
            if j==0 and i==0:
                tall=[A[i,j],A[i,j+1],A[i+1,j],A[i+1,j+1]]
            elif j==len(A)-1 and i==0:
                tall=[A[i,j],A[i+1,j],A[i+1,j-1],A[i+1,j]]
            elif j==0 and i==len(A)-1:
                tall=[A[i,j],A[i,j+1],A[i-1,j],A[i-1,j+1]]
            elif j==len(A)-1 and i==len(A)-1:
                tall=[A[i,j],A[i,j-1],A[i-1,j],A[i-1,j-1]]
            elif j==0:
                tall=[A[i,j],A[i-1,j],A[i-1,j+1],A[i,j+1],A[i+1,j],A[i+1,j+1]]
            elif j==3:
                tall=[A[i,j],A[i-1,j],A[i-1,j-1],A[i,j-1],A[i+1,j],A[i+1,j-1]]
            else:
                tall=[A[i,j],A[i,j-1],A[i,j+1],A[i-1,j-1],A[i-1,j],A[i-1,j+1],A[i+1,j-1],A[i+1,j],A[i+1,j+1]]
            minimum=min(tall[1:])#skal finne laveste verdi i array utenom den første fordi det er senterpunktet i området. 
            if minumum>tall[0]:
               results.append(tall[0])#hvis det laveste tallet er mindre enn det andre laveste tallet i arrayen skal dette tallet legges inn slik at det kan returneres
               
    return result
            
                    
                ";14246
"def sum_except(numlist, n):
    #lager en liste med alle elementene i numlist som ikke er lik n, og returnerer summen av den
    return sum([i for i in numlist if i != n])";"def ok_size(length, width, intl):
    #lagrer banestørrelser i tupler
    normal = ((90.0, 120.0), (45.0, 90.0))
    international = ((100.0, 110.0), (64.0, 75.0)) 
    
    #definerer verdier for min og max lengde + bredde
    if intl:
        minl, maxl = international[0]
        minw, maxw = international[1]    
    else:
        minl, maxl = normal[0]
        minw, maxw = normal[1]
    
    #lager en bool for lengde og en for bredde
    l = length >= minl and length <= maxl
    w = width >= minw and width <= maxw
    
    #begge må være sanne for at true skal returneres
    return l and b";"import numpy as np

def count_local_min(A):
    arr = A
    
    #lager en funksjon som tar inn rad og kolonne og gir ut alle tall i umiddelbar nærhet som en liste
    #går ut ifra at arrayet er rektangulært
    def getNeighbourNumbers(row, col):
        
        #bruker arr som er definert fra parent-funksjonen
        nonlocal arr
        nums = []
        
        #lager bools for å sjekke om vi er på en av ""kantene"" til arrayet
        firstRow = lastRow = firstCol = lastCol = True
        
        #sjekker at vi ikke er på første rad
        if row > 0:
            nums.append(arr[row-1, col])
            firstRow = False
        
        #sjekker at vi ikke er på siste rad
        if row < len(arr)-1:
            nums.append(arr[row+1, col])
            lastRow = False
            
        #sjekker at vi ikke er i første kolonne
        if col > 0:
            nums.append(arr[row, col-1])
            firstCol = False
            
        #sjekker at vi ikke er i siste kolonne 
        if col < len(arr[0])-1:
            nums.append(arr[row,col+1])
            lastCol = False
        
        #legger til tallene som ligger diagonalt ifht tallet
        if not firstRow and not firstCol:
            nums.append(arr[row-1,col-1])
            
        if not firstRow and not lastCol:
            nums.append(arr[row-1,col+1])
        
        if not lastRow and not firstCol:
            nums.append(arr[row+1,col-1])
        
        if not lastRow and not lastCol:
            nums.append(arr[row+1,col+1])
        
        return nums
    
    localMinimaSum = 0
    for r in range(len(arr)):
        for c in range(len(arr[0])):
            neighbourNumbers = getNeighbourNumbers(r, c)
            
            #sjekker om tallet er mindre eller lik alle tall i nærheten
            if arr[r, c] <= min(neighbourNumbers):
                localMinimaSum += 1
    
    return localMinimaSum";10495
"def sum_except(numlist,n):
    summen = 0
    for i in numlist:
        if i == n:
            summen += 0
        else: 
            summen += i
    return summen";"def ok_size(length, width, intl):
    if intl == True:
        if (lenght <= 110 and length >= 100) and (width <= 75 and width >= 64):
            return True 
        else:
            return False
    elif intl == False:
        if (lenght <= 120 and length >= 90) and (width <= 90 and width >= 45):
            return True
        else:
            return False 
        ";"def count_local_min(A):
    count = 0
    for i in range(len(A)-1):
        for j in range(len(A[i])-1):
            if A[i-1][j] == Null: 
                if (A[i][j] < A[i][j-1] and A[i][j] < A[i][j+1] and A[i][j] < A[i+1][j-1] and A[i][j] < A[i+1][j]and A[i][j] < A[i+1][j+1]) == True:
                    count +=1
                else:
                    count += 0
                    
            elif if A[i+1][j] = Null: 
                if (A[i][j] < A[i-1][j-1] and A[i][j] < A[i-1][j] and A[i][j] < A[i-1][j+1] and A[i][j] < A[i][j-1] and A[i][j] < A[i][j+1]) == True:
                    count += 1
                else:
                    count += 0
                    
            elif (A[i][j] < A[i-1][j-1] and A[i][j] < A[i-1][j] and A[i][j] < A[i-1][j+1] and A[i][j] < A[i][j-1] and A[i][j] < A[i][j+1] and A[i][j] < A[i+1][j-1] and A[i][j] < A[i+1][j] and A[i][j] < A[i+1][j+1]) == True:
                count += 1
            else:
                count += 0
    return count ";7572
"def sum_except(numlist, n):
    sum = 0
    for num in numlist:
        if num != n:
            sum += num
    return sum";"def ok_size(length, width, intl):
    if intl == True:
        if (64 <= width <= 75) and (100 <= length <= 110):
            return True
        else:
            return False
    else:
        if (45 <= width <= 90) and (90 <= length <= 120):
            return True
        else:
            return False";"def count_local_min(A):
    #Antar at argumentet som funksjonen kalles med er et 2D np.array da oppgaveteksten ikke sier noe om at man skal ta høyde for å sjekke at funskjonen kalles med gyldig argument
    local_min = 0
    #Sjekker om A har mer enn en rad
    if len(A) > 1:
        max_row = len(A) -1 
        max_col = len(A[0]) - 1
        min_val = 0
        for i in range(len(A)):
            for j in range(len(A[0])):
                if i not in [0, max_row] and j not in [0, max_col]:
                    min_val = min([A[i-1][j], A[i-1][j-1], A[i-1][j+1], A[i][j-1], A[i][j+1], A[i+1][j], A[i+1][j-1], A[i+1][j+1]])
                elif i == 0 and j == 0:
                    min_val = min([A[i][j+1], A[i+1][j], A[i+1][j+1]])
                elif i == max_row and j == 0:
                    min_val = min([A[i][j+1], A[i-1][j], A[i-1][j+1]])
                elif i == 0 and j == max_col:
                    min_val = min([A[i][j-1], A[i+1][j], A[i+1][j-1]])
                elif i == max_row and j == max_col:
                    min_val = min([A[i][j-1], A[i-1][j], A[i-1][j-1]])
                if A[i][j] <= min_val:
                    local_min += 1
    else:
        #Koden under sjekker lokale minimum dersom A bare har en rad
        if len(A[0]) > 1:
            if A[0][0] <= A[0][1]:
                local_min += 1
            if A[0][-1] <= A[0][-2]:
                local_min += 1
            for i in range(1, len(A[0])-1):
                if A[0][i-1] >= A[0][i] and A[0][i] <= A[0][i+1]:
                   local_min += 1
    return local_min";10919
"def sum_except(numlist, n):
    total = 0
    for i in numlist:
        if numlist[i] == n: #hvis et tall i lista er likt n legges det ikke til noe
            total = total
        else:
            total += numlist[i] #legger til hvert tall i lista etter indeks som ikke er likt n
    return total
sum_except(numlist, n)";"def ok_size(length, width, intl):
    int_bredde = range(64, 75) #lager variabler for lovlige banestørrelse med range
    int_lengde = range(100, 110)
    norm_bredde = range(45, 90)
    norm_lengde = range(90, 120)
    if intl:
        if (length == int_lengde or length == 110) and (width == int_bredde or width == 75): #må legge til 110 og 75 for nøyaktig verdi siden range går til, men ikke med
            return True
    else:
        if (length == norm_lengde or length == 120) and (width == norm_bredde or width == 90):
            return True

ok_size(length, width, intl)";"def count_local_min(A):
    result = 0
    for i in range(len(A)):
        
        for m in range(len(A[i])):
            h = i-1
            j = i+1
            l = m-1
            n = m+1
            if i == 0 and m == 0:
                if A[i] < A[j] and A[i] < A[j, n] and A[i] < A[n]:
                    result += 1
            elif i == 0 and m == -1:
                if A[i] < A[j] and A[i] < A[j, l] and A[i] < A[l]:
                    result += 1
            elif i == -1 and m == 0:
                if A[i] < A[h] and A[i] < A[h, n] and A[i] < A[n]:
                    result += 1
            elif i == -1 and m == -1:
                if A[i] < A[h] and A[i] < A[h, l] and A[i] < A[l]:
                    result += 1
            elif i == 0:
                if A[i] < A[l] and A[i] < A[j, l] and A[i] < A[j] and A[i] < A[j, n] and A[i] < A[n]:
                    result += 1
            elif i == -1:
                if A[i] < A[l] and A[i] < A[h, l] and A[i] < A[h] and A[i] < A[h, n] and A[i] < A[n]:
                    result += 1
            elif m == 0:
                if A[i] < A[h] and A[i] < A[h, n] and A[i] < A[n] and A[i] < A[j, n] and A[i] < A[j]:
                    result += 1
            elif m == -1:
                if A[i] < A[h] and A[i] < A[h, l] and A[i] < A[l] and A[i] < A[j, l] and A[i] < A[j]:
                    result += 1
            else:
                if A[i] < A[h] and A[i] < A[h, l] and A[i] < A[h, n] and A[i] < A[l] and A[i] < A[j, l] and A[i] < A[j, n] and A[i] < A[j] and A[i] < A[n]:
                    result += 1
    return result
#ble veldig lang kode for å unngå index error, kunne nok vært løst mye kortere
count_local_min(A)
                    ";10901
