[[<module 'oppgave1.export186' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export186.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export163' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export163.py'>, TypeError("'list' object is not callable")]]
[[<module 'oppgave1.export204' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export204.py'>, AssertionError('20 != 15')]]
[[<module 'oppgave1.export19' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export19.py'>, UnboundLocalError("local variable 'f' referenced before assignment")]]
[[<module 'oppgave1.export218' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export218.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export210' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export210.py'>, NameError("name 'i' is not defined")]]
[[<module 'oppgave1.export31' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export31.py'>, AssertionError('0 != 15')]]
[[<module 'oppgave1.export123' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export123.py'>, TimeoutError()]]
[[<module 'oppgave1.export20' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export20.py'>, AssertionError('0 != 15')]]
[[<module 'oppgave1.export225' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export225.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export234' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export234.py'>, AssertionError('[2, 5, 4, 7, 3, 8] != 15')]]
[[<module 'oppgave1.export262' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export262.py'>, TypeError("'int' object is not subscriptable")]]
[[<module 'oppgave1.export38' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export38.py'>, AssertionError('0 != 15')]]
[[<module 'oppgave1.export249' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export249.py'>, AssertionError('0 != 15')]]
[[<module 'oppgave1.export147' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export147.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export59' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export59.py'>, AssertionError('8 != 15')]]
[[<module 'oppgave1.export65' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export65.py'>, AssertionError('0 != 15')]]
[[<module 'oppgave1.export130' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export130.py'>, AssertionError('0 != 15')]]
[[<module 'oppgave1.export17' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export17.py'>, UnboundLocalError("local variable 'zum' referenced before assignment")]]
[[<module 'oppgave1.export84' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export84.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export51' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export51.py'>, TypeError("'function' object is not iterable")]]
[[<module 'oppgave1.export244' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export244.py'>, TypeError("'int' object is not subscriptable")]]
[[<module 'oppgave1.export166' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export166.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export222' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export222.py'>, AssertionError('None != 15')]]
[[<module 'oppgave1.export191' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export191.py'>, TypeError("'int' object is not iterable")]]
[[<module 'oppgave1.export98' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export98.py'>, NameError("name 'numist' is not defined")]]
[[<module 'oppgave1.export77' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export77.py'>, UnboundLocalError("local variable 'sum' referenced before assignment")]]
[[<module 'oppgave1.export34' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export34.py'>, AssertionError('14 != 15')]]
[[<module 'oppgave1.export169' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export169.py'>, AssertionError('10 != 15')]]
[[<module 'oppgave1.export237' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export237.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export15' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export15.py'>, AssertionError('None != 15')]]
